Ayden, Physics, Homework, 62.41010000539412 
Ayden, Physics, Homework, 65.99597977672069 
Ayden, Physics, Homework, 66.49915033060783 
Ayden, Physics, Homework, 90.14515106174126 
Ayden, Physics, Homework, 80.54494338075766 
Ayden, Physics, Homework, 41.82121756282939 
Ayden, Physics, Homework, 60.62876826517768 
Ayden, Physics, Homework, 41.92789441738829 
Ayden, Physics, Homework, 47.06834009005638 
Ayden, Physics, Homework, 56.52615814972455 
Ayden, Physics, Homework, 41.53138739994571 
Ayden, Physics, Homework, 64.25221119098609 
Ayden, Physics, Homework, 74.46734767996757 
Ayden, Physics, Homework, 94.51173752881763 
Ayden, Physics, Homework, 66.49961229368448 
Ayden, Physics, Homework, 81.71762972656475 
Ayden, Physics, Homework, 79.34091637215926 
Ayden, Physics, Homework, 49.5439987619452 
Ayden, Physics, Homework, 51.70781617243194 
Ayden, Physics, Homework, 46.75440975380958 
Ayden, Physics, Classwork, 79.96745693911339 
Ayden, Physics, Classwork, 53.525728289517 
Ayden, Physics, Classwork, 96.21660975506839 
Ayden, Physics, Classwork, 94.20283405895026 
Ayden, Physics, Classwork, 86.96271070783024 
Ayden, Physics, Classwork, 44.11339832924171 
Ayden, Physics, Classwork, 83.18928733564928 
Ayden, Physics, Classwork, 94.52838652899196 
Ayden, Physics, Classwork, 70.21599124518923 
Ayden, Physics, Classwork, 90.01212234532284 
Ayden, Physics, Classwork, 74.20175761045607 
Ayden, Physics, Classwork, 56.482518365259125 
Ayden, Physics, Classwork, 84.69230922473301 
Ayden, Physics, Classwork, 65.7661850222532 
Ayden, Physics, Classwork, 56.14236016956422 
Ayden, Physics, Classwork, 94.25401914456666 
Ayden, Physics, Classwork, 72.72882166728753 
Ayden, Physics, Classwork, 56.92958092293058 
Ayden, Physics, Classwork, 45.882660541005556 
Ayden, Physics, Classwork, 48.266921120719644 
Ayden, Physics, Quiz, 52.215657196844205 
Ayden, Physics, Quiz, 41.745934708042164 
Ayden, Physics, Quiz, 41.1215206898614 
Ayden, Physics, Quiz, 88.61975652364576 
Ayden, Physics, Quiz, 95.59452855063533 
Ayden, Physics, Quiz, 93.65827646836533 
Ayden, Physics, Quiz, 89.02737391973679 
Ayden, Physics, Quiz, 79.3018881597264 
Ayden, Physics, Quiz, 79.89506370432497 
Ayden, Physics, Quiz, 74.20090206013532 
Ayden, Physics, Quiz, 81.57618311185368 
Ayden, Physics, Quiz, 75.03636116242318 
Ayden, Physics, Quiz, 72.03447466142853 
Ayden, Physics, Quiz, 53.78236508396588 
Ayden, Physics, Quiz, 80.36954208515974 
Ayden, Physics, Quiz, 74.4555265397396 
Ayden, Physics, Quiz, 95.59963116604098 
Ayden, Physics, Quiz, 97.98111303796527 
Ayden, Physics, Quiz, 49.968015058570415 
Ayden, Physics, Quiz, 97.25844677639535 
Ayden, Physics, Test, 91.22444256089847 
Ayden, Physics, Test, 67.4054749301133 
Ayden, Physics, Test, 99.38885913728804 
Ayden, Physics, Test, 98.21491375095428 
Ayden, Physics, Test, 92.13060026474687 
